ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,VmStk,VmExe,VmLib,DeltaMemoryUsageInKbFromTop
12,distributed,5,smoc3,149.839,2498996,2494316,162124,152032,248664,132,8,5508,2435
12,distributed,5,smoc4,151.213,2500452,2495984,161736,149012,250268,132,8,5508,2437
12,distributed,5,smoc5,150.834,2501252,2496576,159692,151004,250340,132,8,5508,2438
12,distributed,5,smoc6,152.148,2499012,2494444,160984,150644,248920,132,8,5508,2435
12,distributed,5,smoc7,148.583,2499428,2494908,157144,149452,249316,132,8,5508,2436
12,distributed,5,smoc8,151.049,2501036,2496520,154236,147624,250736,132,8,5508,2438
12,distributed,5,smoc9,152.715,2499876,2495572,162212,150988,249788,132,8,5508,2437
12,distributed,5,smoc10,151.242,2498120,2494456,160152,149924,247964,132,8,5508,2435
12,distributed,5,smoc11,150.121,2503176,2498608,159564,149788,253152,132,8,5508,2440
12,distributed,5,smoc12,32.052,2501356,2496148,157724,149680,249904,132,8,5508,2437
12,distributed,6,smoc1,150.95,2500696,2496136,155780,146776,248996,132,8,5508,2437
12,distributed,6,smoc2,150.166,2501700,2496668,163104,150168,250628,132,8,5508,2438
12,distributed,6,smoc3,149.931,2499040,2494372,159136,149008,248336,132,8,5508,2435
12,distributed,6,smoc4,150.666,2499428,2494532,162988,152968,248488,132,8,5508,2436
12,distributed,6,smoc5,150.974,2499980,2495412,160148,150368,248920,132,8,5508,2436
12,distributed,6,smoc6,151.046,2498540,2495864,153920,150888,249504,132,8,5508,2437
12,distributed,6,smoc7,148.084,2500832,2498348,158536,149892,251400,132,8,5508,2439
