ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,conventional,smoc3,4,13.798,7300,8816,92244,99100,51096,3563
6,conventional,smoc4,4,15.132,12728,8968,105528,119044,68660,3556
6,conventional,smoc5,4,15.004,7972,9044,118392,139776,75812,3570
6,conventional,smoc6,4,13.782,11696,10648,93532,99752,54792,3565
6,conventional,smoc7,4,4.857,8232,5052,68220,60628,57900,3559
6,conventional,smoc1,5,13.735,9228,10368,104008,110712,50716,3552
6,conventional,smoc2,5,14.618,7104,9104,126220,139500,84172,3560
6,conventional,smoc3,5,14.379,11852,12964,138780,158400,162796,3567
6,conventional,smoc4,5,14.801,7696,10576,113096,131780,73580,3565
6,conventional,smoc5,5,14.432,13500,12600,119464,124152,67312,3547
6,conventional,smoc6,5,14.886,10576,9776,105296,110500,72208,3555
6,conventional,smoc7,5,5.200,5120,256,83780,82172,88724,3545
6,conventional,smoc1,6,14.254,13240,10368,117740,136748,78108,3568
6,conventional,smoc2,6,14.404,4240,10080,79864,101760,62368,3563
6,conventional,smoc3,6,14.375,11164,9124,101364,112556,66192,3553
6,conventional,smoc4,6,14.779,12316,10180,97472,115468,66596,3563
6,conventional,smoc5,6,15.045,7952,10520,77244,89560,55684,3558
6,conventional,smoc6,6,14.35,12156,9532,99564,102880,65792,3543
6,conventional,smoc7,6,5.006,7040,4096,49060,42428,53336,3559
6,conventional,smoc1,7,14.459,16160,15312,123488,127748,74932,3551
6,conventional,smoc2,7,14.642,9400,10600,84388,94196,58312,3554
6,conventional,smoc3,7,15.074,12340,9852,102188,109832,61496,3556
6,conventional,smoc4,7,14.433,12964,11628,81052,91712,55172,3548
6,conventional,smoc5,7,15.008,13500,10732,100772,121076,118016,3566
6,conventional,smoc6,7,14.027,7152,9032,89544,100580,60368,3550
6,conventional,smoc7,7,5.131,9004,4060,53668,48604,64280,35590
6,conventional,smoc1,8,14.971,13684,12040,110232,119488,68196,3560
6,conventional,smoc2,8,14.326,8620,10292,88088,110488,57984,3568
6,conventional,smoc3,8,15.938,10952,10520,136428,147684,96756,3562
6,conventional,smoc4,8,14.366,13148,11048,94976,99808,58180,3554
6,conventional,smoc5,8,14.254,10124,12780,141076,151220,81456,3557
6,conventional,smoc6,8,14.431,11708,7480,171048,179312,183296,3550
6,conventional,smoc7,8,5.215,7876,6140,51052,50868,95860,3569
6,conventional,smoc1,9,14.139,11592,12600,80300,100044,59556,3565
6,conventional,smoc2,9,15.261,8428,8632,79996,94940,85892,3563
6,conventional,smoc3,9,14.737,13732,11628,97728,110756,62664,3555
6,conventional,smoc4,9,14.876,4628,9992,82300,93976,52628,3563
6,conventional,smoc5,9,14.241,11244,10876,83216,88904,54352,3548
6,conventional,smoc6,9,14.418,13812,12592,120868,126280,110432,3544
6,conventional,smoc7,9,4.749,6336,5168,75300,75108,54784,3560
6,conventional,smoc1,10,15.235,11940,11776,74364,89500,60464,3565
6,conventional,smoc2,10,16.367,9048,11300,93060,106244,58936,3563
6,conventional,smoc3,10,15.503,3672,9716,114392,131752,82648,3566
6,conventional,smoc4,10,15.231,5680,9544,83744,93596,50872,3552
